"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"223","","Mike Gesicki","MIA","TE27","11","195","253","224.0","29.0","197.0","-26.0"
"224","","Kenneth Dixon","BAL","RB66","10","196","243","219.5","23.5","243.0","+19.0"
"225","","Chris Boswell","PIT","K8","7","197","221","209.0","12.0","178.0","-47.0"
"226","","Willie Snead","BAL","WR82","10","197","241","219.0","22.0","315.0","+89.0"
"227","","Corey Grant","JAC","RB67","9","197","260","232.0","26.2","319.0","+92.0"
"228","","Brandon Marshall","SEA","WR83","7","200","254","233.7","24.0","263.0","+35.0"
"229","","Mason Crosby","GB","K9","7","203","205","204.0","1.0","210.0","-19.0"
"230","","Tyrod Taylor","CLE","QB29","11","202","212","207.0","5.0","230.0","0.0"
"231","","Josh Allen","BUF","QB30","11","205","216","210.5","5.5","291.0","+60.0"
"232","","Spencer Ware","KC","RB68","12","201","227","214.0","13.0","234.0","+2.0"
"233","","Darren Sproles","PHI","RB69","9","201","231","214.3","12.5","250.0","+17.0"
"234","","Phillip Dorsett","NE","WR84","11","209","224","216.5","7.5","268.0","+34.0"
"235","","Hayden Hurst","BAL","TE28","10","216","217","216.5","0.5","216.0","-19.0"
"236","","D'Onta Foreman","HOU","RB70","10","203","231","217.0","14.0","167.0","-69.0"
"237","","Terrelle Pryor","NYJ","WR85","11","207","230","218.5","11.5","254.0","+17.0"
"238","","Virgil Green","LAC","TE29","8","216","221","218.5","2.5","325.0","+87.0"
"239","","Sam Darnold","NYJ","QB31","11","202","238","220.0","18.0","267.0","+28.0"
"240","","Harrison Butker","KC","K10","12","208","232","220.0","12.0","185.0","-55.0"
"241","","Chase Edmonds","ARI","RB71","9","210","230","221.0","8.3","251.0","+10.0"
"242","","Robert Kelley","WAS","RB72","4","201","257","224.0","23.9","211.0","-31.0"
"243","","Tre'Quan Smith","NO","WR86","6","217","231","224.0","7.0","252.0","+9.0"
"244","","Dante Pettis","SF","WR87","11","204","257","225.3","22.8","274.0","+30.0"
"245","","Zay Jones","BUF","WR88","11","218","233","225.5","7.5","303.0","+58.0"
"246","","Atlanta (ATL)","","DST16","8","214","238","226.0","12.0","242.0","-4.0"
"247","","Corey Coleman","FA","WR89","","214","239","226.5","12.5","279.0","+32.0"
"248","","Taylor Gabriel","CHI","WR90","5","208","246","227.0","19.0","305.0","+57.0"
"249","","Jake Butt","DEN","TE30","10","222","242","232.0","10.0","273.0","+24.0"
"250","","Tyler Boyd","CIN","WR91","9","220","248","234.0","11.4","383.0","+133.0"
"251","","Cincinnati (CIN)","","DST17","9","226","245","235.5","9.5","304.0","+53.0"
"252","","Gerald Everett","LAR","TE31","12","236","237","236.5","0.5","331.0","+79.0"
"253","","Jeremy Hill","NE","RB73","11","221","253","237.0","16.0","217.0","-36.0"
"254","","Green Bay (GB)","","DST18","7","236","248","242.0","6.0","260.0","+6.0"
"255","","Ed Dickson","SEA","TE32","7","239","250","244.5","5.5","301.0","+46.0"
"256","","Sam Bradford","ARI","QB32","9","241","249","245.0","4.0","266.0","+10.0"
"257","","Kalen Ballage","MIA","RB74","11","207","286","246.5","39.5","236.0","-21.0"
"258","","Jaron Brown","SEA","WR92","7","242","254","248.0","6.0","354.0","+96.0"
"259","","Cordarrelle Patterson","NE","WR93","11","245","251","248.0","3.0","272.0","+13.0"
"260","","Jeremy Kerley","BUF","WR94","11","243","256","249.5","6.5","",""
"261","","Josh Rosen","ARI","QB33","9","249","252","250.5","1.5","294.0","+33.0"
"262","","Baker Mayfield","CLE","QB34","11","246","256","251.0","5.0","231.0","-31.0"
"263","","Rod Smith","DAL","RB75","8","247","268","257.5","10.5","276.0","+13.0"
"264","","Jesse James","PIT","TE33","7","243","275","259.0","16.0","299.0","+35.0"
"265","","James Conner","PIT","RB76","7","258","272","265.0","7.0","209.0","-56.0"
"266","","C.J. Prosise","SEA","RB77","7","255","276","265.5","10.5","302.0","+36.0"
"267","","Lamar Jackson","BAL","QB35","10","245","296","270.5","25.5","253.0","-14.0"
""
""
